,0
1190,"[array([-5.6728101e+02,  8.8862579e+01, -7.7601337e+00,  1.9169230e+01,
        9.7112732e+00,  5.4184299e+00, -3.9026384e+00, -6.9671482e-01,
       -7.6719117e+00,  8.0802975e+00,  1.2251964e+00,  7.2497692e+00,
        1.4145158e-01,  5.3843064e+00,  3.7131363e-01,  6.1454501e+00,
        1.0945258e+00,  1.8939303e+00,  3.7449057e+00,  4.4494848e+00,
       -8.5957736e-01,  5.2055154e+00,  1.9971560e+00,  6.1220694e+00,
        8.7361991e-01,  3.0576241e+00,  1.9675552e+00,  4.6359777e+00,
        2.5517982e-01,  2.9812989e+00,  3.0699058e+00,  3.7414374e+00,
        3.8785090e+00,  2.8380625e+00,  2.1940958e+00,  4.5481763e+00,
        2.3186450e+00,  7.5668943e-01,  9.9974144e-01,  5.8117934e-02],
      dtype=float32), 7, 'disgust']"
1191,"[array([-5.70962036e+02,  5.29944077e+01, -5.49117708e+00,  1.42476015e+01,
       -1.06093760e+01, -1.91207063e+00, -1.20018263e+01, -8.67174244e+00,
       -1.08530598e+01,  7.00708818e+00, -1.03317947e+01, -3.41802454e+00,
       -1.31826866e+00, -1.59961069e+00, -7.40773821e+00, -1.55447018e+00,
       -5.62321901e+00, -3.70039201e+00, -4.49853039e+00, -2.71904564e+00,
       -2.29538083e+00, -3.38280511e+00, -3.63470221e+00, -1.66540349e+00,
       -4.81587982e+00, -8.60125244e-01, -2.21917319e+00,  5.17336249e-01,
        3.06726187e-01,  1.94238579e+00,  7.63533294e-01,  1.86280262e+00,
        1.14641547e+00,  1.07688558e+00,  2.05067992e+00,  1.54078484e+00,
        2.47544193e+00,  6.02638245e-01,  1.34095654e-01,  9.56098139e-01],
      dtype=float32), 7, 'disgust']"
1192,"[array([-5.4772046e+02,  4.8877029e+01,  2.2280898e+00,  1.2731395e+01,
        2.2257142e+00,  8.0056572e+00, -8.0016174e+00,  8.4921259e-01,
       -7.4771714e+00,  7.4036717e+00, -7.6311407e+00,  8.6451823e-01,
        5.1591885e-01,  1.2924194e-03, -2.2778058e+00, -5.5646849e-01,
       -3.1746874e+00, -6.9455820e-01, -3.6149839e-01,  9.0238053e-01,
       -2.8153458e+00,  3.1691566e+00,  1.9197066e-01,  2.2292566e+00,
        1.4869589e+00,  3.2108815e+00,  1.6723979e+00,  2.4792547e+00,
        1.9595481e+00,  1.4706811e-01,  1.2896721e+00,  2.5842383e+00,
        2.0207396e+00,  1.2038872e+00, -9.9488579e-02, -5.7074651e-03,
        8.3690447e-01,  5.5751312e-01,  9.8965716e-01,  2.9562378e-01],
      dtype=float32), 7, 'disgust']"
1193,"[array([-4.9703845e+02,  3.0982296e+01, -2.0799583e+01,  1.0195642e+00,
       -1.5652534e+01, -5.2060990e+00, -9.1067953e+00, -1.0824816e+01,
       -1.6957623e+01, -1.0723073e+00, -5.9251142e+00, -6.7552843e+00,
       -6.6944671e+00, -4.5487037e+00, -6.9811525e+00, -7.4045334e+00,
       -8.2984610e+00, -3.9303231e+00, -2.9544725e+00,  9.9962491e-01,
        4.2360659e+00,  4.0737314e+00,  4.4994717e+00,  4.8641777e+00,
        4.2042422e+00,  5.2847433e+00,  1.0482000e+00, -5.9157109e-01,
       -2.2102406e+00,  6.4032394e-01,  4.8652270e-01, -4.9571255e-01,
       -2.3042254e+00, -2.6917510e+00, -8.2952547e-01,  1.6154642e-01,
        3.7361735e-01, -2.7807981e-01,  7.1149826e-01,  1.0885009e+00],
      dtype=float32), 7, 'disgust']"
1194,"[array([-4.6677634e+02,  3.3645042e+01, -1.7367523e+01,  1.3745011e+01,
       -1.8151030e+01,  4.7672600e-01, -1.5648373e+01, -5.7622304e+00,
       -1.2020210e+01, -4.6527090e+00, -5.3939571e+00, -2.1986911e+00,
       -7.3195682e+00, -1.2885491e+00, -1.0278605e+01,  2.9777849e+00,
       -6.2785625e+00,  6.6318274e-01, -3.3764639e+00, -1.2477220e+00,
       -1.2180709e+00,  5.9286898e-01,  1.4459342e-01,  5.5331221e+00,
        1.4219360e+00,  5.9333291e+00,  3.3293126e+00,  3.9810739e+00,
        2.5413539e+00,  1.3669618e+00,  2.6549764e+00,  1.4937704e+00,
        1.4896883e+00,  3.8849680e+00,  3.9981947e+00,  3.3017688e+00,
        1.1981573e+00,  3.8954455e-01,  9.5803142e-02,  2.4764144e+00],
      dtype=float32), 7, 'disgust']"
1195,"[array([-6.0334082e+02,  2.9719343e+01, -1.1940653e+01,  4.3970699e+00,
       -1.0434520e+01, -5.3951225e+00, -1.1270484e+01, -5.7974916e+00,
       -1.0711178e+01, -2.3960989e+00, -7.7858810e+00, -3.5749692e-01,
       -7.9978414e+00, -7.1735644e-01, -8.3226824e+00, -4.0882392e+00,
       -6.1796765e+00, -1.8974404e+00, -2.4889269e+00, -6.8931884e-01,
        7.9032093e-01,  1.7371416e+00, -9.0769315e-01,  2.5706778e+00,
        2.3980882e+00,  5.4687715e+00,  6.1897516e+00,  3.4002807e+00,
        1.3527302e+00, -9.8921877e-01, -3.3379325e-01, -3.5083488e-01,
       -2.1008041e+00,  3.6591049e-02, -1.2428036e+00, -3.6296764e-01,
       -1.6841961e+00, -1.4019886e+00, -1.7880223e+00, -4.5634770e-01],
      dtype=float32), 7, 'disgust']"
1196,"[array([-5.8439276e+02,  6.7125389e+01, -1.0164303e+01,  1.9166964e+01,
        7.2923350e+00, -3.8957264e+00,  2.4756484e+00, -2.4624248e-01,
       -1.2906985e+01,  5.9054551e+00, -1.1852448e+00,  1.2403256e-01,
       -2.6606302e+00,  3.9350908e+00, -3.1719947e+00,  2.5122614e+00,
       -5.9944534e+00,  2.2373114e+00, -2.0059302e+00,  1.0973545e+00,
       -3.5772238e+00,  2.0463393e+00, -5.0901537e+00, -1.5569483e+00,
       -9.5033318e-01, -1.4511420e+00, -3.0490534e+00,  4.8734732e-03,
        4.8819828e-01,  5.2510973e-02, -8.6611658e-01, -1.5427783e+00,
       -1.0480888e+00, -6.3651699e-01, -1.0023366e+00, -3.8471135e-01,
       -8.5843664e-01, -2.3183849e+00, -1.8089001e+00, -4.8784804e-01],
      dtype=float32), 7, 'disgust']"
1197,"[array([-5.7441425e+02,  4.8311089e+01, -1.2987379e+01,  4.3257604e+00,
       -1.0360049e+01, -3.8786821e+00, -1.6787575e+01, -8.7892115e-01,
       -1.4461285e+01, -1.1372298e+00, -3.0720441e+00, -9.7513819e+00,
       -4.4414878e+00, -3.9740915e+00, -4.2906847e+00, -2.7532527e+00,
       -7.7603168e+00, -6.3207090e-01, -7.1151347e+00, -4.5323029e+00,
       -4.9506068e+00, -3.5212104e+00, -5.7981949e+00, -2.4303031e+00,
       -4.4907746e+00, -1.6665813e+00, -3.9469638e+00, -3.4137404e-01,
       -2.9115720e-02,  9.3594086e-01,  7.9270780e-01,  1.4795854e+00,
       -2.1532863e-02,  3.2126701e-01,  1.1637056e+00,  1.4347501e+00,
        2.8551264e+00,  4.5423074e+00,  4.0519018e+00,  3.4824483e+00],
      dtype=float32), 7, 'disgust']"
1198,"[array([-5.7159949e+02,  5.2092510e+01, -5.2516251e+00,  1.1424728e+01,
       -2.9099450e+00,  1.9329315e+00, -7.5419016e+00, -2.7784975e+00,
       -1.3322742e+01, -3.1824150e+00, -2.6960046e+00, -3.3116395e+00,
       -5.5205688e+00, -8.2593232e-01, -3.1569598e+00,  1.3662395e+00,
       -6.7406707e+00, -8.0840623e-01, -5.3867321e+00, -3.5303564e+00,
       -5.1059422e+00, -3.0067284e+00, -4.4333811e+00, -4.3764987e+00,
       -1.7997828e+00, -2.4568961e+00, -5.1960945e+00, -1.7909415e+00,
       -3.8324099e+00, -2.1629660e+00, -2.9103490e-02, -5.6160927e-01,
       -2.6396000e-01, -1.1279671e+00, -8.4474301e-01,  6.3767356e-01,
        1.7125770e+00,  1.6774012e+00,  1.3913177e+00,  2.0421593e+00],
      dtype=float32), 7, 'disgust']"
1199,"[array([-5.0623148e+02,  3.6656311e+01, -2.8359871e+01,  2.0921464e+00,
       -2.0613846e+01, -5.5919261e+00, -1.9832649e+01, -7.4263291e+00,
       -8.4085522e+00,  2.7019958e+00, -1.2847500e+01,  1.9485546e+00,
       -4.8771753e+00, -2.8921790e+00, -3.6176453e+00, -4.1639304e+00,
       -5.1114392e+00, -1.1517562e+00, -5.5136309e+00,  2.1251471e+00,
       -1.3709909e+00, -1.2752198e-01,  1.0013168e-01,  2.1445391e+00,
        4.1465650e+00,  5.9022064e+00,  5.2554817e+00,  6.3230834e+00,
        3.3637497e-01, -5.2232623e-01,  4.9268264e-01,  9.3812072e-01,
        1.9878038e+00,  7.3020965e-01, -1.5901582e+00, -2.4340233e-01,
       -4.8296687e-01, -2.6926059e-01,  1.9089384e-02, -2.0948143e-01],
      dtype=float32), 7, 'disgust']"
1200,"[array([-5.2477441e+02,  4.9048531e+01,  3.8362985e+00,  4.9161797e+00,
       -1.2542036e+01,  5.6032753e+00, -1.6977648e+01, -1.1322981e+01,
       -9.8138704e+00, -4.6815915e+00, -1.2500890e+01,  3.7942085e-01,
       -1.0675453e+01, -8.3409042e+00, -7.3819480e+00, -2.7665839e+00,
       -1.4197615e+01, -3.5386124e+00, -6.4872432e+00, -4.4664087e+00,
       -8.8660498e+00, -3.3714094e+00, -7.2298317e+00, -3.7352207e+00,
       -4.4550962e+00,  5.8612436e-01, -4.0525055e+00,  3.4881020e+00,
        2.9005939e-01,  2.0738795e+00,  5.3298509e-01,  1.3237429e-01,
       -2.3812881e+00,  4.3669251e-01, -2.6976049e-03,  1.6617775e+00,
        1.1973664e+00,  1.1779114e+00,  8.2054830e-01,  4.8354682e-01],
      dtype=float32), 7, 'disgust']"
1201,"[array([-5.5230896e+02,  5.0654106e+01, -1.8845385e+01,  2.7205584e+00,
       -1.4652855e+01, -2.0702167e+00, -1.6007158e+01, -1.2966012e+01,
       -7.9032764e+00, -3.8936028e-01, -1.3293722e+01,  1.7387475e+00,
       -1.0836829e+01, -2.0063567e+00, -6.4486051e+00, -5.5329080e+00,
       -3.5029049e+00, -3.5872705e+00, -6.6604176e+00, -4.2212501e+00,
       -3.2026629e+00, -7.6415482e+00, -4.1579108e+00, -2.2146232e+00,
       -4.7720504e+00,  2.4281895e+00,  2.3419037e+00,  5.7464032e+00,
        5.3064704e+00,  4.5127406e+00,  3.2432330e+00,  3.3863385e+00,
        4.5360727e+00,  5.2846661e+00,  3.2165153e+00,  1.2597045e+00,
        7.5565827e-01,  2.9892507e-01,  1.1811874e+00,  1.3028402e+00],
      dtype=float32), 7, 'disgust']"
1202,"[array([-5.0344061e+02,  7.3388474e+01, -6.9919963e+00,  1.1810674e+01,
       -1.1492873e+01, -6.3715708e-01, -1.9045450e+01,  4.1205964e+00,
       -1.2520480e+01, -7.1089396e+00, -7.4370365e+00, -1.1781918e+00,
       -1.0667344e+01, -1.7676073e+00, -7.9430094e+00, -5.6869316e+00,
       -6.3353677e+00, -3.5349238e+00, -4.7259669e+00, -3.7222385e+00,
       -6.3581662e+00, -5.9477930e+00, -5.6637101e+00, -4.7704802e+00,
       -4.2291718e+00, -2.9312997e+00, -5.2159019e+00, -1.7441934e+00,
       -3.4300420e+00, -1.0198804e+00, -2.5894687e+00, -2.9409728e+00,
       -4.6529512e+00, -4.7872981e-01, -3.7428787e+00, -1.0400383e+00,
       -3.9322612e+00, -5.1517429e+00, -4.5953345e+00, -1.4433857e+00],
      dtype=float32), 7, 'disgust']"
1203,"[array([-5.55722595e+02,  3.33618088e+01, -1.48048544e+01,  9.13573325e-01,
       -1.00253515e+01, -6.34037971e+00, -1.30736980e+01, -1.44095364e+01,
       -1.68869457e+01, -8.63340735e-01, -1.02578945e+01, -8.19609451e+00,
       -6.99781466e+00,  1.83719552e+00, -1.23984270e+01, -1.43693364e+00,
       -4.56896019e+00, -4.97718763e+00, -5.63997412e+00, -3.71506190e+00,
       -5.82070208e+00, -8.73116314e-01, -1.65126264e+00,  6.18100548e+00,
        8.32885933e+00,  8.29802799e+00,  7.96768045e+00,  4.23075628e+00,
        2.29186964e+00,  1.06545651e+00,  1.79226720e+00,  1.52061319e+00,
        6.75113559e-01, -4.12671208e-01, -1.93066931e+00,  8.73637199e-01,
       -5.46326399e-01, -1.04497409e+00, -9.23667252e-01, -8.53511989e-01],
      dtype=float32), 7, 'disgust']"
1204,"[array([-5.8664868e+02,  5.8116943e+01,  4.6667746e-01,  1.0285955e+01,
       -5.9969802e+00, -2.2698073e+00, -1.3174542e+01, -7.0219908e+00,
       -9.3564291e+00, -1.4949719e+00, -6.0476112e+00,  1.6533923e+00,
       -3.4980385e+00,  1.6773645e+00, -3.2835422e+00,  8.8760400e-01,
       -2.9275460e+00, -2.1483686e+00, -1.6872097e+00, -1.6878362e-01,
       -2.5489330e+00,  2.2753887e-01, -2.6654751e+00, -2.1925199e+00,
       -4.3120036e+00,  2.9771454e+00, -5.6425409e+00,  2.8921254e+00,
       -2.2981887e+00, -7.6130413e-02, -1.2460097e+00, -7.9824442e-01,
        9.3352622e-01,  3.4272163e+00,  4.3415289e+00,  3.2293513e+00,
        2.4898694e+00, -5.9995288e-01,  1.7931556e+00,  2.6525545e+00],
      dtype=float32), 7, 'disgust']"
1205,"[array([-6.0915314e+02,  5.3769352e+01, -1.9016859e+01,  5.6302304e+00,
       -7.0331330e+00, -1.0328685e+01, -1.9445902e+01, -3.0456216e+00,
       -8.3851385e+00,  7.3663515e-01, -1.3335127e+01,  1.8874699e+00,
       -8.8194904e+00, -4.1049724e+00, -4.8000536e+00, -8.4666538e+00,
       -4.2656822e+00, -2.8506386e+00, -5.2194872e+00, -1.4400911e+00,
        1.3331158e+00,  4.4305091e+00,  2.1836870e+00,  4.6117043e+00,
        3.8253574e+00,  5.0232921e+00,  2.4716513e+00,  4.6846590e+00,
        9.2241153e-02,  3.1094139e+00,  1.5705889e+00,  4.3303294e+00,
        3.8701844e+00,  4.2720423e+00,  2.7404437e+00,  1.4480606e+00,
        2.5062420e+00,  3.0346785e+00,  3.3372393e+00,  3.5350173e+00],
      dtype=float32), 7, 'disgust']"
1206,"[array([-5.8554694e+02,  6.4672943e+01,  1.1498386e+01,  2.6679125e+01,
        1.1998765e+00, -3.8305738e+00, -9.7534847e+00,  4.8431559e+00,
       -8.1793098e+00, -2.8268435e+00, -1.4539148e+00,  1.7478845e+00,
       -5.5917473e+00,  4.7013750e+00, -4.0967674e+00,  4.4258838e+00,
       -4.9853320e+00,  2.0477059e+00, -3.3186989e+00, -6.0408735e-01,
       -5.7945323e+00,  3.1129256e-01, -4.1087303e+00, -2.9707739e+00,
       -3.0318031e+00,  6.4681482e-01, -4.2425222e+00,  2.3704596e+00,
       -2.6581540e+00, -7.0269990e-01, -9.0613323e-01,  9.0046954e-01,
        1.5648398e+00,  1.2751919e+00,  3.8637480e-01, -9.3000668e-01,
       -2.3476992e+00, -6.6393709e-01,  1.8907704e+00,  6.8140680e-01],
      dtype=float32), 7, 'disgust']"
1207,"[array([-6.5986951e+02,  5.9335587e+01,  8.9721546e+00,  1.8616125e+01,
        2.3565915e+00,  2.2630339e+00, -6.4731970e+00, -4.7955465e+00,
       -5.9902835e+00, -3.5768503e-01, -8.2210960e+00,  6.2269506e+00,
       -5.9171271e+00,  2.6458790e+00, -3.2439313e+00, -1.8579166e+00,
       -3.0184724e+00,  2.6570184e+00, -1.7982726e+00,  1.2805324e+00,
       -1.2470123e+00,  4.5464644e-01, -7.2613287e-01, -8.1821567e-01,
       -3.5255253e-01, -1.8447220e+00, -4.9500847e-01,  7.3182601e-01,
       -4.7293016e-01,  1.7779750e+00,  2.4865246e+00,  6.9352279e+00,
        7.4253983e+00,  8.4887648e+00,  6.2645311e+00,  4.6084700e+00,
        2.2776217e+00,  4.5420709e+00,  4.0510230e+00,  6.2503791e+00],
      dtype=float32), 7, 'disgust']"
1208,"[array([-6.5669818e+02,  7.8491348e+01, -8.2759943e+00,  2.6055359e+01,
        7.5369487e+00,  1.8334295e+00, -3.3130221e+00, -9.2100132e-01,
       -7.0862832e+00, -7.1634960e-01, -5.4255853e+00, -2.5706406e+00,
       -3.1721807e+00, -7.5571907e-01, -5.5823474e+00,  1.0750430e+00,
        1.5955590e+00, -2.6972289e+00, -5.9901042e+00, -1.5879822e-01,
       -5.4022884e+00, -1.7955427e+00, -5.2716618e+00, -2.6984382e+00,
       -3.0983491e+00, -3.0614283e+00, -4.9476681e+00, -8.4016585e-01,
       -1.8982388e+00, -2.8959215e+00, -1.5165009e+00, -6.2581128e-01,
       -2.1895297e+00, -1.1358055e+00, -2.4082272e+00, -1.2299365e+00,
       -1.7929844e+00, -3.2175770e+00, -2.9424548e+00, -1.8009200e+00],
      dtype=float32), 7, 'disgust']"
1209,"[array([-4.9313120e+02,  5.9737144e+01, -2.5842001e+01,  6.5429740e+00,
       -7.6084924e+00, -3.9628067e+00, -1.6166630e+01, -1.8511633e+01,
       -5.9446559e+00,  2.4044635e+00, -1.7303928e+01,  2.9176633e+00,
       -8.9421291e+00, -4.7568364e+00,  7.5152302e-01, -4.2210946e+00,
       -7.6027002e+00, -4.8574023e+00, -5.5309515e+00, -4.2279482e+00,
       -2.1219063e+00,  5.5023088e+00,  1.8071384e+00,  1.0876727e+00,
        6.2764068e+00,  5.6490707e+00,  7.6112947e+00,  1.1708622e+01,
        4.6391134e+00,  5.9306293e+00, -3.6757424e-01,  1.2106826e+00,
        2.0054274e+00,  4.5358348e+00,  1.3839378e+00,  1.0939375e+00,
       -2.5209088e+00, -1.4986985e+00, -7.2139722e-01, -7.7234119e-01],
      dtype=float32), 7, 'disgust']"
1210,"[array([-5.9851642e+02,  6.8794670e+01,  1.1450034e+01,  1.5062591e+01,
       -6.8163385e+00,  8.1819544e+00, -2.8118801e+00,  1.7371126e+00,
       -1.2451514e+01, -1.2947109e+00,  2.0900068e-01,  1.2675467e+00,
       -5.9257922e+00,  2.4340909e+00, -3.0573623e+00, -1.1020080e+00,
       -6.9157519e+00, -2.5133028e+00, -2.0484669e+00,  5.7296515e-03,
       -6.3460259e+00,  3.8040498e-01, -4.5160847e+00, -1.3911269e+00,
       -2.5490494e+00, -3.8174698e-01, -4.6607947e+00,  1.0739695e+00,
       -2.9885540e+00, -6.2970084e-01, -1.9492846e+00, -9.3197584e-01,
       -1.2583787e+00, -1.5787297e+00, -2.3127289e+00, -8.1870246e-01,
       -1.5523335e+00, -1.9662588e+00, -1.5775421e+00, -9.2386490e-01],
      dtype=float32), 7, 'disgust']"
1211,"[array([-5.1717889e+02,  4.4798416e+01, -1.6352736e+01,  7.2524228e+00,
       -7.4184985e+00, -7.7348785e+00, -1.5771820e+01, -1.2974231e+01,
       -5.5019140e+00,  5.4776597e+00, -1.6220577e+01,  1.6306751e+00,
       -9.9075308e+00, -5.0034428e+00, -3.9050722e+00, -7.3140445e+00,
       -3.6748402e+00,  2.4989536e-01, -7.8519936e+00,  3.5145921e-01,
       -1.5183533e+00, -6.4703673e-01, -7.5060087e-01,  5.9333384e-01,
       -7.5465107e-01,  2.2630589e+00, -3.2161899e+00,  1.5383110e+00,
        3.1624779e-01,  7.0312142e+00,  5.9075933e+00,  6.5964031e+00,
        3.6478751e+00,  2.8328347e+00,  1.0394568e+00,  2.3651266e+00,
        2.5297561e+00,  1.2396308e+00,  8.0906260e-01,  1.5867391e+00],
      dtype=float32), 7, 'disgust']"
1212,"[array([-7.1539349e+02,  7.3415985e+01,  1.0017536e+01,  1.5167959e+01,
        2.6078718e+00,  7.8072205e+00, -3.1229470e+00,  1.0211240e+00,
       -5.8096914e+00,  3.1760261e+00, -1.7260031e+00,  2.3290267e+00,
        3.3697891e+00,  2.5151110e+00, -1.9451916e+00,  4.0330057e+00,
       -4.4732752e+00,  3.1167669e+00,  2.8580928e-01, -2.7265796e-01,
       -2.4008880e+00, -9.8160195e-01, -2.0106125e+00,  7.6375377e-01,
       -2.8938608e+00,  1.1717578e+00, -1.0496339e+00, -4.6034387e-01,
        3.8536167e-01, -3.3185691e-01, -5.8898216e-01,  8.4509259e-01,
       -1.3227215e-01, -3.9894629e-01,  5.7006079e-01,  1.5201534e-01,
       -4.3482962e-01, -8.6461592e-01, -1.8705872e+00, -1.3645928e+00],
      dtype=float32), 7, 'disgust']"
1213,"[array([-6.0268488e+02,  4.0806240e+01, -4.0232987e+00,  9.8524256e+00,
       -1.5082180e+01, -3.8462441e+00, -1.8335714e+01, -6.5284638e+00,
       -9.0343790e+00, -3.3441677e+00, -9.2940912e+00, -1.1637000e+00,
       -7.9936161e+00, -9.4687217e-01, -6.4693904e+00, -3.5479958e+00,
       -4.7525206e+00, -3.4513719e+00, -8.4647589e+00, -1.6667097e+00,
       -6.3051944e+00, -2.1753652e+00, -3.6610970e+00,  1.2297474e+00,
       -1.2173427e+00,  8.5862416e-01, -4.5280024e-02,  8.6132056e-01,
       -5.6630474e-01, -1.9081931e-01, -6.5928429e-01,  1.2518659e+00,
        1.3949407e+00,  2.2619271e+00,  8.3325332e-01,  1.8736723e-01,
       -6.6378319e-01, -1.0173212e+00, -3.3443174e-01, -2.0141630e-01],
      dtype=float32), 7, 'disgust']"
1214,"[array([-5.4934570e+02,  7.0025543e+01, -1.2869921e+01,  1.2448238e+01,
        8.3696089e+00,  2.5097547e+00, -4.0274401e+00, -2.2427683e+00,
       -4.8529701e+00,  4.8101382e+00, -2.9409223e+00,  5.8485293e+00,
        4.7382265e-01,  1.8395731e+00,  3.0276108e+00,  3.4040945e+00,
       -1.9954407e+00,  1.3748492e+00,  1.4390141e+00,  1.2038611e+00,
       -1.3965405e+00,  2.4976361e+00, -7.1552610e-01,  2.9707651e+00,
        1.8570220e-01,  4.2881754e-01,  1.6864004e-02,  3.2522228e+00,
       -9.0657395e-01,  2.2523448e+00,  6.8136805e-01,  1.8295988e+00,
        1.8770592e+00,  9.5314282e-01,  9.8800254e-01,  2.7555258e+00,
        1.3823717e+00,  2.6406453e+00,  2.9205377e+00,  2.0909595e+00],
      dtype=float32), 7, 'disgust']"
1215,"[array([-576.2175   ,   52.38726  ,    3.7445426,   13.859651 ,
         -6.0215874,   -4.4560676,  -16.166634 ,   -7.548644 ,
        -14.443264 ,    6.0111737,  -15.086571 ,   -2.9244947,
         -3.7625964,   -4.217817 ,   -8.501102 ,   -2.5247746,
         -5.6043863,   -3.8079612,   -7.356284 ,   -3.5406241,
         -4.50212  ,   -5.071475 ,   -5.560124 ,   -4.1549897,
         -5.799981 ,   -4.5294046,   -4.1488676,   -3.543676 ,
         -4.47814  ,   -1.5233264,   -1.122667 ,    3.2116768,
          1.9271625,    3.0620816,    1.8028631,    2.7130094,
          1.6249987,    2.2733393,    2.7522964,    2.7410293],
      dtype=float32), 7, 'disgust']"
1216,"[array([-5.3420209e+02,  3.9412415e+01, -1.8204491e+00,  1.4434404e+01,
       -6.1353040e-01,  1.3865130e+01, -8.5567827e+00, -9.3997395e-01,
       -1.1537850e+01,  1.1879477e+01, -5.0941072e+00,  2.0110874e+00,
        1.1763579e+00,  2.9944658e+00, -2.7638988e+00,  2.5954370e+00,
       -1.3633300e+00, -7.2464935e-02, -2.1944037e-02,  1.2547220e+00,
       -4.3573112e+00,  5.1775508e+00, -6.3209081e-01,  1.3211944e+00,
        2.4317920e+00,  2.5564408e+00,  1.4922549e+00,  2.7456949e+00,
       -5.8149523e-01,  7.7491295e-01,  7.0298207e-01,  2.8715382e+00,
        4.1374817e+00,  3.3733404e+00,  7.2199786e-01,  4.8857030e-01,
        1.8075949e-01,  9.7741139e-01,  1.7042959e+00,  4.0570217e-01],
      dtype=float32), 7, 'disgust']"
1217,"[array([-4.8476297e+02,  3.6718456e+01, -2.1248194e+01, -2.3119864e+00,
       -1.3446670e+01, -5.4525328e+00, -8.0268593e+00, -1.1395800e+01,
       -1.5032292e+01,  2.8407011e+00, -7.5122094e+00, -3.0983648e+00,
       -5.5307918e+00, -2.9016731e+00, -6.9134874e+00, -7.5892959e+00,
       -8.1795692e+00, -3.9640398e+00, -4.3396711e+00,  8.2812762e-01,
        2.5260797e+00,  1.3037544e+00, -4.1127320e-02,  2.3229504e+00,
        2.8587765e-01,  2.3303494e+00,  1.8267016e+00,  2.1302946e+00,
       -3.8345277e-01, -2.1702629e-01, -1.0899534e+00, -3.0468285e-01,
       -2.5401032e+00, -1.8131932e+00, -8.8427091e-01, -4.3084127e-01,
       -1.3511257e-01, -3.1505826e-01, -2.5627011e-01,  4.8930228e-01],
      dtype=float32), 7, 'disgust']"
1218,"[array([-4.3687604e+02,  1.3090297e+01, -1.0783044e+01,  8.8405867e+00,
       -2.9698849e+01,  5.9661093e+00, -1.6305065e+01, -9.4867277e+00,
       -1.1768875e+01, -5.5999685e-02, -7.5330544e+00,  9.7344637e-01,
       -6.6299357e+00, -1.1537356e+00, -5.1182246e+00,  5.2034245e+00,
       -6.0391378e+00,  1.1141341e+01,  3.8689148e+00,  5.8853917e+00,
        1.7703946e+00,  3.4793644e+00, -6.7445181e-02,  6.8018394e+00,
        6.6453781e+00,  8.6083946e+00, -4.5025177e-02,  6.0423279e+00,
        4.2544785e+00,  4.6131182e+00,  2.9320850e+00, -1.1409885e-02,
        9.6445060e-01,  4.2865524e+00,  4.7737393e+00,  5.7848048e+00,
        2.2415082e+00,  1.9965109e+00, -2.7731046e-01,  2.7286775e+00],
      dtype=float32), 7, 'disgust']"
1219,"[array([-5.6476019e+02,  2.2506474e+01, -1.1365490e+01, -6.6819158e+00,
       -1.5252900e+01, -6.9983530e+00, -1.8353619e+01, -9.4674377e+00,
       -1.4167366e+01,  4.2579365e-01, -1.1992969e+01, -6.4648566e+00,
       -7.1303663e+00, -1.3788197e+00, -8.5634384e+00, -1.1524572e+00,
       -2.9726861e+00,  1.5417576e+00, -1.2193109e+00,  1.4579940e+00,
        1.2820499e+00,  2.2787676e+00,  1.2809137e+00, -1.4587015e-01,
       -2.0197937e+00,  1.3393807e-01,  1.1688671e-01,  8.0896141e-03,
        4.1549259e-01,  1.2777773e-01, -5.9280521e-01,  3.1970111e-01,
        8.7375768e-02,  9.7348922e-01,  4.2484909e-01,  1.8482368e+00,
        4.9669465e-01,  8.5458195e-01, -1.3786329e+00,  2.4914551e+00],
      dtype=float32), 7, 'disgust']"
1220,"[array([-5.7871320e+02,  6.1370003e+01, -8.9076214e+00,  2.1265520e+01,
        5.5541711e+00, -2.4276483e+00, -2.8377619e+00,  6.7796063e-01,
       -1.2619604e+01,  7.7290568e+00, -2.5925214e+00, -4.6507877e-01,
       -3.1770768e+00,  3.7202692e+00, -3.1488276e+00,  1.0938491e+00,
       -7.3123302e+00,  1.8688954e+00, -4.1436505e+00, -8.3063406e-01,
       -4.2000871e+00,  1.5026864e+00, -6.2243705e+00, -1.6631064e+00,
       -2.6951830e+00, -2.3553627e+00, -1.8060269e+00, -4.0677178e-01,
       -9.3695307e-01, -6.3967115e-01, -1.6453745e+00, -9.2384195e-01,
       -2.1128049e+00, -1.3755289e+00, -1.8625610e+00, -2.9002339e-01,
       -2.3851237e+00, -1.6497040e+00, -2.5079715e+00, -1.4272906e+00],
      dtype=float32), 7, 'disgust']"
